MatchID,TeamID,OriginPlayerID,DestinationPlayerID,MatchPeriod,EventTime,EventType,EventSubType,EventOrigin_x,EventOrigin_y,EventDestination_x,EventDestination_y
1,Huskies,Huskies_G1,,1H,31.174680999999993,Free Kick,Goal kick,0.0,0.0,66.0,89.0
1,Opponent1,Opponent1_D1,,1H,33.73032599999999,Duel,Air duel,34.0,11.0,22.0,0.0
1,Huskies,Huskies_F1,,1H,33.81296499999999,Duel,Air duel,66.0,89.0,78.0,100.0
1,Opponent1,Opponent1_D2,,1H,42.611028000000005,Free Kick,Throw in,22.0,0.0,66.0,3.0
1,Huskies,Huskies_D1,Huskies_F1,1H,46.32350099999999,Pass,Head pass,34.0,97.0,59.0,95.0
1,Huskies,Huskies_F1,,1H,47.00471400000001,Duel,Ground loose ball duel,59.0,95.0,64.0,94.0
1,Opponent1,Opponent1_D1,,1H,47.213716000000005,Duel,Ground loose ball duel,41.0,5.0,36.0,6.0
1,Opponent1,Opponent1_M1,,1H,48.487897000000004,Pass,Simple pass,36.0,6.0,45.0,5.0
1,Huskies,Huskies_F1,,1H,49.880982999999986,Pass,Head pass,55.0,95.0,57.0,93.0
1,Opponent1,Opponent1_D1,,1H,50.10940400000001,Duel,Ground loose ball duel,43.0,7.0,47.0,11.0
1,Huskies,Huskies_M1,Huskies_F2,1H,51.022546000000006,Pass,Simple pass,53.0,89.0,69.0,91.0
1,Huskies,Huskies_F2,,1H,51.624604000000005,Pass,Simple pass,69.0,91.0,75.0,100.0
1,Opponent1,Opponent1_D2,,1H,62.22151500000001,Free Kick,Throw in,30.0,0.0,40.0,0.0
1,Huskies,Huskies_F1,,1H,85.96226300000001,Free Kick,Throw in,65.0,100.0,81.0,84.0
1,Opponent1,Opponent1_D2,Opponent1_G1,1H,89.00872099999998,Pass,Simple pass,19.0,16.0,5.0,50.0
1,Opponent1,Opponent1_G1,Opponent1_F1,1H,92.21616,Pass,Launch,5.0,50.0,67.0,44.0
1,Opponent1,Opponent1_F1,,1H,95.97841599999998,Duel,Air duel,67.0,44.0,58.0,45.0
1,Huskies,Huskies_D2,,1H,96.945738,Duel,Air duel,33.0,56.0,42.0,55.0
1,Huskies,Huskies_M2,Huskies_M3,1H,98.26519100000002,Pass,Simple pass,42.0,55.0,36.0,54.0
1,Huskies,Huskies_M3,,1H,99.39862499999998,Pass,Simple pass,36.0,54.0,36.0,63.0
1,Opponent1,Opponent1_M1,,1H,99.759819,Pass,Simple pass,64.0,37.0,70.0,5.0
1,Huskies,Huskies_D1,,1H,103.35627399999998,Pass,High pass,30.0,95.0,72.0,97.0
1,Opponent1,Opponent1_D1,,1H,105.00381499999997,Duel,Air duel,28.0,3.0,39.0,7.0
1,Huskies,Huskies_F1,,1H,106.13960800000001,Duel,Air duel,72.0,97.0,61.0,93.0
1,Opponent1,Opponent1_M1,,1H,107.84783499999998,Pass,Simple pass,39.0,7.0,27.0,2.0
1,Huskies,Huskies_F1,,1H,108.29069099999998,Others on the ball,Touch,73.0,98.0,70.0,89.0
1,Opponent1,Opponent1_D1,Opponent1_F2,1H,109.02554500000002,Pass,Simple pass,30.0,11.0,31.0,22.0
1,Opponent1,Opponent1_F2,Opponent1_D2,1H,111.02599700000002,Pass,Simple pass,31.0,22.0,27.0,23.0
1,Opponent1,Opponent1_D2,Opponent1_M1,1H,112.85614800000002,Pass,High pass,27.0,23.0,36.0,6.0
1,Opponent1,Opponent1_M1,,1H,115.289285,Pass,Simple pass,36.0,6.0,35.0,2.0
1,Huskies,Huskies_F1,,1H,116.88016399999998,Others on the ball,Touch,65.0,98.0,66.0,100.0
1,Opponent1,Opponent1_D2,,1H,127.72577999999999,Free Kick,Throw in,34.0,0.0,66.0,9.0
1,Huskies,Huskies_D1,Huskies_F1,1H,130.65652999999998,Pass,Head pass,34.0,91.0,52.0,97.0
1,Huskies,Huskies_F1,,1H,134.60395799999998,Duel,Ground defending duel,52.0,97.0,47.0,100.0
1,Opponent1,Opponent1_D1,,1H,148.68747000000002,Free Kick,Throw in,53.0,0.0,48.0,12.0
1,Opponent1,Opponent1_F2,Opponent1_D3,1H,151.85275000000001,Pass,Simple pass,48.0,12.0,46.0,56.0
1,Opponent1,Opponent1_D3,Opponent1_M2,1H,154.63611600000002,Pass,Simple pass,46.0,56.0,56.0,68.0
1,Opponent1,Opponent1_M2,,1H,158.518016,Pass,High pass,56.0,68.0,86.0,35.0
1,Huskies,Huskies_D1,Huskies_G1,1H,161.22147,Pass,Simple pass,14.0,65.0,11.0,50.0
1,Huskies,Huskies_G1,Huskies_G1,1H,164.626056,Pass,Hand pass,11.0,50.0,5.0,45.0
1,Huskies,Huskies_G1,,1H,169.31419699999998,Pass,Launch,5.0,45.0,47.0,89.0
1,Opponent1,Opponent1_D1,,1H,171.93773,Duel,Air duel,53.0,11.0,91.0,18.0
1,Huskies,Huskies_G1,,1H,176.83919600000002,Pass,Launch,9.0,82.0,62.0,91.0
1,Opponent1,Opponent1_D1,,1H,180.25021900000002,Duel,Air duel,38.0,9.0,59.0,14.0
1,Huskies,Huskies_F1,,1H,180.83230600000002,Duel,Air duel,62.0,91.0,41.0,86.0
1,Huskies,Huskies_M3,,1H,183.458434,Others on the ball,Touch,41.0,86.0,35.0,90.0
1,Huskies,Huskies_D1,,1H,183.987009,Duel,Ground loose ball duel,35.0,90.0,28.0,94.0
1,Opponent1,Opponent1_M1,,1H,184.28474899999998,Duel,Ground loose ball duel,65.0,10.0,72.0,6.0
1,Huskies,Huskies_D1,,1H,188.32811199999998,Others on the ball,Touch,28.0,94.0,32.0,90.0
1,Opponent1,Opponent1_M1,,1H,188.662037,Duel,Ground attacking duel,68.0,10.0,75.0,0.0
1,Huskies,Huskies_D1,,1H,190.32950899999997,Duel,Ground defending duel,32.0,90.0,25.0,100.0
1,Huskies,Huskies_D1,,1H,201.192228,Free Kick,Throw in,25.0,100.0,39.0,95.0
1,Huskies,Huskies_F2,,1H,203.18356999999997,Duel,Ground attacking duel,39.0,95.0,44.0,95.0
1,Opponent1,Opponent1_M1,,1H,203.34465899999998,Duel,Ground defending duel,61.0,5.0,56.0,5.0
1,Huskies,Huskies_F2,,1H,206.59909,Duel,Ground defending duel,44.0,95.0,44.0,94.0
1,Opponent1,Opponent1_M1,,1H,206.873669,Duel,Ground attacking duel,56.0,5.0,56.0,6.0
1,Huskies,Huskies_F2,,1H,209.472692,Foul,Foul,44.0,94.0,44.0,95.0
1,Opponent1,Opponent1_D1,,1H,236.075554,Free Kick,Free kick cross,59.0,9.0,100.0,100.0
1,Huskies,Huskies_G1,,1H,238.031525,Goalkeeper leaving line,Goalkeeper leaving line,0.0,0.0,41.0,91.0
1,Opponent1,Opponent1_F3,,1H,239.478568,Duel,Air duel,89.0,59.0,74.0,67.0
1,Huskies,Huskies_G1,,1H,239.989913,Duel,Air duel,11.0,41.0,26.0,33.0
1,Opponent1,Opponent1_M3,,1H,240.30575499999998,Duel,Air duel,74.0,67.0,83.0,8.0
1,Huskies,Huskies_M2,,1H,240.70691499999998,Duel,Air duel,26.0,33.0,17.0,92.0
1,Huskies,Huskies_D1,Huskies_D2,1H,247.46904899999998,Pass,Simple pass,17.0,92.0,22.0,62.0
1,Huskies,Huskies_D2,Huskies_D3,1H,249.694665,Pass,Simple pass,22.0,62.0,19.0,24.0
