county,preg_10_14,preg_15_17,preg_18_19,birth_10_14,birth_15_17,birth_18_19,unmar_10_14,unmar_15_17,unmar_18_19
1,29,350,571,17,281,437,16,164,193
2,24,303,567,13,206,466,13,151,233
3,40,422,691,29,307,546,28,251,366
4,21,201,356,18,184,326,15,137,180
5,16,156,357,11,109,254,10,99,161
6,44,523,970,33,442,803,32,293,396
7,17,263,434,9,201,345,7,113,168
8,23,330,427,16,256,444,14,160,210
9,13,123,221,10,113,199,9,78,106
10,41,467,950,24,446,686,22,279,331
11,28,421,713,18,343,615,15,219,328
12,9,179,311,8,145,261,7,114,162
