stop_id,x_km,y_km,n_elementary,n_high_school
0,12.3703,15.5022,11,13
1,10.0509,16.2588,13,0
2,9.2549,16.6148,12,8
3,12.4525,16.6919,6,18
4,12.1241,17.1723,17,12
5,15.0869,3.5980,8,0
6,16.5495,3.8716,11,0
7,13.9183,4.9849,6,0
8,14.9541,3.2036,13,0
9,12.3766,6.5387,13,15
10,9.6836,17.7942,15,15
11,7.4056,16.2725,10,0
12,6.3765,17.6421,10,15
13,6.8079,15.8332,17,8
14,5.5560,16.2606,15,0
15,0.0000,14.3822,7,13
16,0.5516,15.4980,15,0
17,2.3957,15.1301,17,15
18,3.7303,14.9688,8,13
19,1.0994,15.3380,12,15
20,14.5187,11.3015,13,0
21,16.2978,8.8919,6,13
22,16.1618,7.3702,14,20
23,11.9719,8.9485,7,7
24,18.8200,8.1049,11,10
25,7.3222,5.8180,13,0
26,7.6573,6.9321,10,20
27,6.5898,4.4131,13,8
28,8.0887,6.4087,15,0
29,6.3436,2.9039,12,8
