stop_id,x_km,y_km,n_elementary,n_high_school
0,7.3420,9.6450,17,0
1,7.1573,9.9152,11,21
2,7.3330,8.9326,8,0
3,9.6014,2.6352,11,0
4,8.1213,3.2615,6,0
5,8.7040,2.2594,13,0
6,2.6892,10.3596,13,0
7,3.5043,11.3865,13,26
8,4.1487,10.1051,8,0
9,1.1907,9.6843,7,0
10,0.6425,9.2666,12,29
11,0.1821,8.5624,6,21
12,9.8826,4.5010,6,29
13,7.0587,5.2753,11,0
14,9.4723,5.3977,7,0
15,3.8839,5.2441,15,0
16,4.4264,3.7642,17,0
17,3.1065,3.8625,17,21
18,4.2345,5.4510,12,0
19,4.5937,5.4679,11,29
20,3.9588,3.9533,10,0
21,5.7696,5.7036,6,0
22,5.2951,5.9520,11,0
23,6.4874,6.3548,11,0
24,11.2247,7.8792,15,26
25,9.8078,9.0434,15,32
26,10.9303,8.8899,15,0
27,7.0662,8.8960,8,18
28,5.2572,11.4560,10,0
29,6.4120,11.3951,9,12
30,4.3912,4.0356,17,0
31,3.0204,2.5942,15,0
32,2.7784,2.6920,15,29
33,5.9304,2.7532,17,0
34,7.9497,1.6338,15,0
35,6.5762,1.6290,15,26
