policy,school,route_id,stops,n_students,distance_km,route_minutes,max_ride_min
S,E,0,"18-17-19-16-15",59,27.88,54.4,39.9
S,E,1,"24-6-8-5-7-9",62,29.38,57.7,45.3
S,E,2,"10-12-14-13-11",67,21.81,48.3,38.7
S,E,3,"20-21-22-23",40,18.08,36.1,32.3
S,E,4,"28-29-27-25-26",63,24.48,50.9,39.0
S,E,5,"0-3-4-1-2",59,15.79,38.3,33.4
S,H,0,"3-24-22-21",61,29.37,56.4,49.6
S,H,1,"18-17-19-15",56,30.92,57.2,42.7
S,H,2,"13-12-2-10-4-0",71,24.02,52.8,42.3
S,H,3,"26-27-29-9-23",58,29.47,56.3,44.6
C,E,0,"18-17-19-16-15",59,27.88,54.4,39.9
C,E,1,"21-24-6-8-5-7-9",68,29.59,59.9,51.6
C,E,2,"10-12-14-13-11",67,21.81,48.3,38.7
C,E,3,"28-29-27-25-26",63,24.48,50.9,39.0
C,E,4,"0-3-4-1-2",59,15.79,38.3,33.4
C,E,5,"20-22-23",34,17.77,33.7,29.9
C,H,0,"21-24",23,21.44,35.3,23.3
C,H,1,"27-29",16,24.42,37.6,25.5
C,H,2,"13-12-2",31,18.23,33.6,25.5
C,H,3,"26",20,14.48,24.8,17.2
C,H,4,"23-9-22",42,19.57,38.1,32.2
C,H,5,"10-4-3-0",58,16.48,38.5,28.3
C,H,6,"18-17-19-15",56,30.92,57.2,42.7
